SKU,Nombre,Precio,Existencias,Costo,Proveedor,Status,Vencimiento,CategoriaPrincipal,Subcategoria,UnidadMedida
B0042-DOT,Spray fragancia para cabello Pink in Sweet 100ml, 38.00,60.0, 32.00,VB,Inactive,,Cuidado personal,Fragancias,12
B0042-BM,Spray fragancia para cabello Pink in Sweet 100ml, 38.00,4.0, 32.00,VB,Inactive,2028-05-01,Cuidado personal,Fragancias,12
LC1310,Mascara para pestañas y cejas en gel con Acido Hialuronico Magic, 13.00,357.0, 11.00,VB,Active,2028-11-01,Maquillaje,Mascara,24
LC1157,Brillo Labial Mariposita Magic, 13.00,240.0, 11.00,VB,Active,2028-05-01,Maquillaje,Labios,24
LC719,Brillo Labial Dear Darling Magic, 13.00,1.0, 11.00,VB,Inactive,2028-10-01,Maquillaje,Labios,24
B38,Perfume Tom Ford Fkg. fabulous 100ml, 130.00,37.0, 110.00,VB,Active,,Cuidado personal,Perfumes,12
B37,Perfume Tom Ford Oud wood 100ml, 130.00,30.0, 110.00,VB,Active,,Cuidado personal,Perfumes,12
B36,Perfume Tom Ford Fabulous 100ml, 130.00,36.0, 110.00,VB,Active,,Cuidado personal,Perfumes,12
B35,Perfume Tom Ford Tuscan Leather 100ml, 130.00,10.0, 110.00,VB,Active,,Cuidado personal,Perfumes,12
B9,Perfume Aventus Creed 100ml, 142.00,78.0, 120.00,VB,Active,,Cuidado personal,Perfumes,12
G3135,Balsamo Labial Limon Orof, 12.00,557.0, 10.00,VB,Active,2028-08-01,Maquillaje,Labios,24
G3134,Balsamo Labial Arándano Orof, 12.00,172.0, 10.00,VB,Active,2028-08-01,Maquillaje,Labios,24
G3137,Balsamo Labial Sandia 24h Orof, 12.00,511.0, 10.00,VB,Active,2028-08-01,Maquillaje,Labios,24
G3136,Balsamo Labial Fresas 24h Orof, 12.00,370.0, 10.00,VB,Active,2028-08-01,Maquillaje,Labios,24
ST3361,"Base Liquida 36h 3 in 1 Base, Primer y Corrector Anthaway", 13.00,408.0, 11.00,VB,Active,2027-12-01,Maquillaje,Base de maquillaje,24
ST3352,Base Liquida 36h Vitamina C Fit me! Anthaway, 13.00,384.0, 11.00,VB,Active,2027-12-01,Maquillaje,Base de maquillaje,24
ST3350,Base Liquida 36h Hidratante Anthaway, 13.00,528.0, 11.00,VB,Active,2027-12-01,Maquillaje,Base de maquillaje,24
161-3020,Primer para rostro Kaliya Beauty Aloe 16H, 13.00,1287.0, 11.00,VB,Active,2028-08-01,Maquillaje,Primers de maquillaje,24
161-065,Primer para rostro Kaliya Beauty Vitamina C, 13.00,309.0, 11.00,VB,Active,2028-08-01,Maquillaje,Primers de maquillaje,24
161-095,Primer para rostro Kaliya Beauty Alta adherencia, 13.00,1128.0, 11.00,VB,Active,2028-08-01,Maquillaje,Primers de maquillaje,24
161-3024,Primer para rostro Kaliya Beauty Acabado húmedo definitivo, 13.00,1152.0, 11.00,VB,Active,2028-08-01,Maquillaje,Primers de maquillaje,24
8636P,Sombra de ojos Anylady Super Girl, 95.00,96.0, 80.00,VB,Active,2027-07-01,Maquillaje,Sombra,12
BX-330,Esponja para maquillar 3pcs Kiss Lovely, 15.00,409.0, 12.00,VB,Active,2029-01-01,Maquillaje,Esponjas de maquillaje,12
CS043,Esponja para maquillar 6pcs Envase Plastico, 19.00,635.0, 16.00,VB,Active,2029-01-01,Maquillaje,Esponjas de maquillaje,12
FP3137,Esponja para maquillar Sweet Beauty, 19.00,716.0, 16.00,VB,Active,2029-01-01,Maquillaje,Esponjas de maquillaje,12
B0021-RC,Body Spray Pink in Sweet 250ml, 80.00,24.0, 71.40,VB,Inactive,,Cuidado personal,Fragancias,12
0460,Primer Top Face Para Pieles Secas Rellena & Refresca, 13.00,696.0, 11.00,VB,Active,2027-07-01,Maquillaje,Primers de maquillaje,24
