ITEM_ID,SKU (Código de artículo),Nombre,Existencias a mano,Tarifa de compra,Tasa,Fecha de vencimiento,Fabricante
5467547000000344986,S35-001,Exfoliante Corporal Green Tea 532ml,7,NIO69.00,NIO69.00,01 jul 2026,Stay
5467547000000344889,S35-0711,Exfoliante Corporal Mango Y Naranja 532ml,12,NIO47.00,NIO69.00,01 oct 2027,Stay
5467547000000344792,S35-1151,Exfoliante Facial Frutos Silvestres. 6 Oz 170g,230,NIO46.00,NIO66.00,01 nov 2023,Stay
5467547000000344695,WA-007,Exfoliante Facial Wao 250ml,663,NIO46.00,NIO66.00,01 nov 2023,Stay
5467547000000344598,S23-009,Exfoliante Para Rostro Avena Y Miel 500ml Stay,223,NIO113.00,NIO149.00,01 ago 2025,Stay
5467547000000344404,S23-1165,Exfoliante Para Rostro Frutos Silvestres 500ml Stay,8,NIO149.00,NIO149.00,01 ago 2025,Stay
5467547000000344307,S23-008,Exfoliante Para Rostro Menta 500ml,16,NIO113.00,NIO162.00,01 ene 2025,Stay
5467547000000292117,85377-03,Fijador de polvo suelto Kiss Beauty,12,NIO25.60,NIO30.50,01 oct 2028,VB
5467547000000344210,S11-1066,Formador Barba Stay,84,NIO18.00,NIO20.22,01 ene 2029,Stay
5467547000000315983,56939-03HA,Gel de cejas con Ácido Hialurónico,432,NIO18.00,NIO21.18,01 abr 2028,VB
5467547000000335965,56839-03,Gel Para Cejas Invisible,227,NIO20.00,NIO23.53,01 jun 2028,VB
5467547000000314722,006-WKL176,Gel Para Ducha 550ml Bamboo Wokali,116,NIO63.00,NIO70.00,01 oct 2024,Mayz
5467547000000314625,006-WKL258,Gel Para Ducha 550ml Lanolin Wokali,33,NIO63.00,NIO70.00,01 mar 2025,Mayz
5467547000000292214,HS1195,Iluminador Make-up Mecow,48,NIO20.00,NIO24.00,01 dic 2028,VB
5467547000000326362,S6-1140A,Iluminador y bronceador Stay,192,NIO33.00,NIO37.08,01 jul 2025,Stay
5467547000000344016,S33-008,Jabon Para Manos Stay 413ml Apple,49,NIO40.00,NIO44.94,01 abr 2023,Stay
5467547000000343919,S33-004,Jabon Para Manos Stay 413ml Mint,31,NIO40.00,NIO44.94,01 abr 2023,Stay
5467547000000330145,BX-414,Kit para Uñas 4 Pzs,287,NIO27.00,NIO31.76,01 ene 2029,VB
5467547000000290658,K-7775,Labial de Hadas Miss Betty,72,NIO16.69,NIO21.00,01 ene 2028,BISUTERIA
5467547000000335868,7166E,Labial Ever Beauty,672,NIO20.00,NIO23.53,01 ene 2028,VB
5467547000000290561,K3324,Labial Matte 24 hrs Miss Betty,168,NIO17.57,NIO22.00,01 ene 2027,BISUTERIA
5467547000000290464,5389,Labial Matte Chanlanya,192,NIO14.05,NIO18.00,01 ene 2028,BISUTERIA
5467547000000334413,36380-47,Labial Matte Karité,"1,368",NIO15.00,NIO17.65,01 abr 2028,VB
5467547000000288815,9218,Labios mas carnosos Chanlanya,120,NIO16.69,NIO21.00,01 ene 2029,BISUTERIA
5467547000000287457,9219,Labios mas carnosos Chanlanya,96,NIO16.69,NIO21.00,01 ene 2029,BISUTERIA
5467547000000334995,MB-022,Lápiz Delineador Negro,670,NIO12.00,NIO14.12,01 ene 2026,VB
5467547000000287651,CX2059,Lápiz Labial 24 hrs,192,NIO15.81,NIO20.00,01 ene 2027,BISUTERIA
5467547000000313362,5338,Lápiz Labial CHANLANYA Matte 5338,960,NIO12.00,NIO14.12,01 ene 2026,VB
5467547000000313265,5360,Lápiz Labial CHANLANYA Matte 5360,312,NIO12.00,NIO14.12,01 ene 2026,VB
5467547000000313168,5513,Lápiz Labial CHANLANYA Matte 5513,"1,200",NIO12.00,NIO14.12,01 ene 2027,VB
5467547000000286875,CX2186,Lápiz Labial Comfor Beauty,192,NIO15.81,NIO20.00,01 ene 2027,BISUTERIA
5467547000000287166,CX2171,Lápiz Labial Comfor Beauty,192,NIO15.81,NIO20.00,01 ene 2027,BISUTERIA
5467547000000313459,5323,Lápiz Labial Huda Beauty Matte 5323,617,NIO12.00,NIO14.12,01 ene 2026,VB
5467547000000318699,H98149-24B,Lápiz Labial Huda Colores que duran todo el dia,"3,672",NIO12.00,NIO14.12,01 abr 2028,VB
5467547000000296969,H98142-A,Lápiz Labial Huda Mate,"1,073",NIO12.00,NIO14.12,01 may 2028,VB
5467547000000318602,H98144-A,Lápiz Labial Huda Matte H98144-A,"3,930",NIO12.00,NIO14.12,01 jun 2028,VB
5467547000000335674,7152E,Lapiz Labial Mate,975,NIO18.00,NIO21.18,01 jun 2027,VB
5467547000000317147,B7031,Lapiz Labial Mate Beauty Model 24hr,576,NIO11.00,NIO12.94,01 may 2027,VB
5467547000000315789,35002-1,Lapiz Labial Mate Beauty Model Matte 35002-1,978,NIO11.00,NIO12.94,01 jun 2027,VB
5467547000000315692,35008-1,Lapiz Labial Mate Beauty Model Matte 35008-1,570,NIO11.00,NIO12.94,01 sep 2027,VB
5467547000000296872,35010,Lápiz Labial Mate Beauty Model Matte 35010,768,NIO11.00,NIO12.94,01 jul 2027,VB
5467547000000286972,5786,Lápiz Labial Mate Golden Rose,96,NIO15.81,NIO20.00,01 oct 2028,BISUTERIA
5467547000000298036,35006,Lapiz labial Matte Beauty Model,312,NIO11.00,NIO12.94,01 jun 2028,VB
5467547000000297939,T51036,Lapiz labial Matte duradero Top Lady,"3,624",NIO12.00,NIO14.12,01 jun 2028,VB
5467547000000326459,T51037,Lápiz Labial Top Lady,"2,256",NIO12.00,NIO15.00,01 jun 2028,VB
5467547000000334704,EB7060,Lápiz Para Cejas,912,NIO10.00,NIO11.76,01 jun 2028,VB
5467547000000321415,MB-023,Lapiz para cejas,168,NIO18.00,NIO21.00,01 ene 2026,VB
5467547000000289591,E051,Lápiz para cejas SandyBeauty,48,NIO13.18,NIO17.00,01 ene 2027,BISUTERIA
5467547000000343725,S2-0925,Lima Para Pedicure Azucar,276,NIO25.00,NIO28.09,01 ene 2029,Stay
5467547000000343822,S2-0771,Lima Para Pedicure Stay,409,NIO10.00,NIO12.00,01 ene 2029,Stay
5467547000000343628,S2-0061,Lima Para Uña Stay,438,NIO10.00,NIO11.24,01 ene 2029,Stay
5467547000000343531,S2-0581,Limpia Cutícula Stay,108,NIO15.00,NIO20.00,01 ene 2029,Stay
5467547000000322482,RX150X,Limpiador Facial 150ml Multi proposito,181,NIO45.00,NIO52.94,01 may 2026,VB
5467547000000322579,KQ-VC150X,Limpiador Facial 150ml Vitamina C,81,NIO45.00,NIO52.94,01 mar 2026,VB
5467547000000332376,GJ7191,Limpiador Facial Acido Hialuronico 100g,177,NIO40.00,NIO47.06,01 may 2028,VB
5467547000000315595,2377-47A,Limpiador Facial Karité 150ml Aloe,288,NIO60.00,NIO70.59,01 jun 2028,VB
5467547000000315401,2377-47B,Limpiador Facial Karité 150ml Rosas,348,NIO60.00,NIO70.59,01 jun 2028,VB
5467547000000315498,2377-47C,Limpiador Facial Karité 150ml Vitamin E,359,NIO60.00,NIO70.59,01 jun 2028,VB
5467547000000328496,GJ7181,Limpiador Facial Retinol 100g,89,NIO42.00,NIO49.41,01 may 2026,VB
5467547000000343434,S35-0939,Limpiador Facial Rosado 200ml,471,NIO44.00,NIO63.00,01 ene 2026,Stay
5467547000000343337,S35-023,Limpiador Facial Verde 200ml,455,NIO44.00,NIO63.00,01 ene 2026,Stay
5467547000000338972,046-U423020,Limpiador Facial Vit C Beauty Formula 150ml,168,NIO69.00,NIO81.18,01 ene 2026,Mayz
5467547000000332085,GJ7194,Locion Acido Hialuronico 100g,72,NIO45.00,NIO52.94,01 may 2028,VB
